This is by far the worst purchase I've made on Amazon.,0
Excellent starter wireless headset.,0
It is a joy to use.,1
Trying to make a call on these is an exercise in frustration.,0
Just reading on the specs alone makes you say WOW.,1
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
It has been a winner for us.,1
The nokia CA-42 USB cable did not work with my phone.,0
I would highly recommend this product.,1
The sound quality is good and functionality is awesome.,1
Linksys should have some way to exchange a bad phone for a refurb unit or something!,0
THAT one didn't work either.,0
Nice headphones for the price and they work great!,1
AMAZON SUCKS.,0
Logitech Bluetooth Headset is a 10!.,1
Excellent sound quality.,1
Nice Sound.,1
Motorola finally got the voice quality of a bluetooth headset right.,1
Also difficult to put on.I'd recommend avoiding this product.,0
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
disappointing.,0
Not good enough for the price.,0
Integrated seamlessly with the Motorola RAZR phone.,1
Great for using with your home stereo.,1
You get what you pay for I guess.,0
Good product - incredible value.,1
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
Stay Away From the Q!.,0
Does Not Work.,0
I have tried these cables with my computer and my iPod and it works just fine.,1
very disappointed.,0
Horrible phone.,0
It looses connection to the phone even when it is within a couple feet between the two.,0
2 thumbs up to this seller,1
This is a great little item.,1
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
It's very convenient and simple to use - gets job done & makes the car ride so much smoother.,1
Do Not Buy for D807...wrongly advertised for D807.,0
Soyo technology sucks.,0
Worked great!.,1
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0
Adapter does not provide enough charging current.,0
It has kept up very well.,1
I am very happy,1
worthless product.,0
Poor Talk Time Performance.,0
Who in their right mind is gonna buy this battery?.,0
Made very sturdy.,1
Great bluetooth!.,1
Would recommend this item.,1
I have been very satisfied with this cell phone from day one.,1
Mobile Phone Tools are a must have.,1
Disappointment.. I hate anything that goes in my ear.,0
Its the best headset I have used.,1
Its well-designed and very sharp -- the blue is a very nice color.,1
Don't buy it.,0
Nice solid keyboard.,1
Don't buy this product.,0
How stupid is that?,0
Awkward to use and unreliable.,0
I am going to have to be the first to negatively review this product.,0
The screen does get smudged easily because it touches your ear and face.,0
Improper description.... I had to return it.,0
It does everything the description said it would.,1
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
Works great.,1
Only had this a month but it's worked flawlessly so far.,1
